opponent,seed,orientation,hand_num,hand_id,hero_delta,street,pot,community_cards,showdown,hero_cards,hand_strength,action_log_tail
all_in_maniac,43,1,0,deployed_all_in_maniac_s43_o1_h0000,-10000,river,20000,Qh 3c 7c 2d 6c,True,4s 4h,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 10000, ""seat"": 0}, {""action"": ""call"", ""amount"": 9900, ""seat"": 1}]"
all_in_maniac,42,0,5,deployed_all_in_maniac_s42_o0_h0005,-9250,river,20000,Kc 3c 4s 6h 9h,True,Qh Td,High Card,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 10750, ""seat"": 1}, {""action"": ""call"", ""amount"": 10650, ""seat"": 0}]"
template,42,1,62,deployed_template_s42_o1_h0062,-8500,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 450, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1575, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6075, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 11500, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 8500, ""seat"": 0}]"
shark,42,1,62,deployed_shark_s42_o1_h0062,-7950,river,20000,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 600, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 7950, ""seat"": 0}, {""action"": ""all_in"", ""amount"": 12050, ""seat"": 1}]"
tight_aggressive,43,1,139,deployed_tight_aggressive_s43_o1_h0139,-6550,river,20000,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 600, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2100, ""seat"": 1}, {""action"": ""raise"", ""amount"": 4800, ""seat"": 0}, {""action"": ""call"", ""amount"": 2700, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 1750, ""seat"": 0}, {""action"": ""call"", ""amount"": 1750, ""seat"": 1}, {""action"": ""raise"", ""amount"": 6550, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 350, ""seat"": 1}]"
tight_passive,42,1,62,deployed_tight_passive_s42_o1_h0062,-6243,river,12486,3d Jh Ah 3s 5h,True,Qc Qh,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 660, ""seat"": 1}, {""action"": ""call"", ""amount"": 660, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1531, ""seat"": 1}, {""action"": ""call"", ""amount"": 1531, ""seat"": 0}, {""action"": ""raise"", ""amount"": 3552, ""seat"": 1}, {""action"": ""call"", ""amount"": 3552, ""seat"": 0}]"
shark,43,1,139,deployed_shark_s43_o1_h0139,-6200,river,20000,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1200, ""seat"": 0}, {""action"": ""raise"", ""amount"": 4200, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 6200, ""seat"": 0}, {""action"": ""raise"", ""amount"": 6864, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 2736, ""seat"": 1}]"
template,43,1,139,deployed_template_s43_o1_h0139,-6050,river,20000,6s 5s Kc 4d Kd,True,Jh Jc,Two Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1050, ""seat"": 0}, {""action"": ""raise"", ""amount"": 3675, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 6050, ""seat"": 0}, {""action"": ""raise"", ""amount"": 6418, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 3857, ""seat"": 1}]"
aggressor,42,1,17,deployed_aggressor_s42_o1_h0017,-5600,river,12600,6h Ts 9d 2h 2c,True,4c 5c,Pair,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 1}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 0}, {""action"": ""raise"", ""amount"": 250, ""seat"": 1}, {""action"": ""raise"", ""amount"": 1600, ""seat"": 0}, {""action"": ""raise"", ""amount"": 5600, ""seat"": 1}, {""action"": ""all_in"", ""amount"": 7000, ""seat"": 0}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}, {""action"": ""check"", ""amount"": 0, ""seat"": 1}]"
loose_passive,43,1,20,deployed_loose_passive_s43_o1_h0020,-4640,river,9280,Ac Qd As 6c Ad,True,7c 7h,Full House,"[{""action"": ""small_blind"", ""amount"": 50, ""seat"": 0}, {""action"": ""big_blind"", ""amount"": 100, ""seat"": 1}, {""action"": ""call"", ""amount"": 50, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 400, ""seat"": 0}, {""action"": ""raise"", ""amount"": 500, ""seat"": 1}, {""action"": ""call"", ""amount"": 500, ""seat"": 0}, {""action"": ""raise"", ""amount"": 1000, ""seat"": 1}, {""action"": ""call"", ""amount"": 1000, ""seat"": 0}, {""action"": ""raise"", ""amount"": 2640, ""seat"": 1}, {""action"": ""call"", ""amount"": 2640, ""seat"": 0}]"
